index,FM
loss_tr_l,"[0.5795, 0.5859]"
loss_tr_m,0.5827
loss_tr_std,0.0031999946
auc_tr_l,"[0.5142, 0.5713]"
auc_tr_m,0.5427500000000001
auc_tr_s,0.02855000000000002
loss_te,0.5852773
auc_te,0.5145
